2022-05-01 12:50:35,210 | INFO | [+] {client} connected with id {id}
2022-05-01 12:50:35,210 | INFO | creation of server keys
2022-05-01 12:52:22,014 | INFO | [+] {client} connected with id {id}
2022-05-01 12:52:22,014 | INFO | creation of server keys
2022-05-01 12:52:26,369 | INFO | [+] {client} connected with id {id}
2022-05-01 12:52:26,370 | INFO | creation of server keys
2022-05-01 12:58:44,893 | INFO | [+] {client} connected with id {id}
2022-05-01 12:58:44,894 | INFO | creation of server keys
2022-05-01 13:01:19,382 | INFO | creation of base server
2022-05-01 13:01:23,632 | INFO | [+] {client} connected with id {id}
2022-05-01 13:01:23,632 | INFO | creation of server keys
2022-05-01 13:03:13,982 | INFO | creation of base server
2022-05-01 13:03:18,743 | INFO | [+] {client} connected with id {id}
2022-05-01 13:03:18,743 | INFO | creation of server keys
2022-05-01 13:08:19,086 | INFO | creation of base server
2022-05-01 13:08:22,868 | INFO | [+] {client} connected with id {id}
2022-05-01 13:08:22,868 | INFO | creation of server keys
2022-05-01 13:09:04,308 | INFO | creation of base server
2022-05-01 13:09:05,748 | INFO | [+] {client} connected with id {id}
2022-05-01 13:09:05,749 | INFO | creation of server keys
2022-05-01 13:21:26,290 | INFO | creation of base server
2022-05-01 13:21:32,487 | INFO | [+] {client} connected with id {id}
2022-05-01 13:21:32,488 | INFO | creation of server keys
2022-05-01 13:27:56,300 | INFO | creation of base server
2022-05-01 13:27:59,556 | INFO | [+] {client} connected with id {id}
2022-05-01 13:27:59,556 | INFO | creation of server keys
2022-05-01 13:33:25,475 | INFO | creation of base server
2022-05-01 13:33:27,153 | INFO | [+] {client} connected with id {id}
2022-05-01 13:33:27,153 | INFO | creation of server keys
2022-05-01 13:45:18,654 | INFO | creation of base server
2022-05-01 13:45:29,094 | INFO | creation of base server
2022-05-01 13:45:35,787 | INFO | [+] {client} connected with id {id}
2022-05-01 13:45:35,787 | INFO | creation of server keys
2022-05-01 14:11:27,418 | INFO | creation of base server
2022-05-01 14:11:31,440 | INFO | [+] {client} connected with id {id}
2022-05-01 14:11:31,440 | INFO | creation of server keys
2022-05-01 14:12:42,929 | INFO | creation of base server
2022-05-01 14:12:46,371 | INFO | [+] {client} connected with id {id}
2022-05-01 14:12:46,371 | INFO | creation of server keys
2022-05-01 14:13:27,834 | INFO | creation of base server
2022-05-01 14:13:44,279 | INFO | [+] {client} connected with id {id}
2022-05-01 14:13:44,279 | INFO | creation of server keys
2022-05-01 14:14:24,288 | INFO | creation of base server
